Foglio1, id,numero,titolo,,descrizione,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Albanese,111111,1,Il Creativo (qian),,"Il Creativo è la rappresentazione della massima agibilità, forza, creazione e attività. Non ne abusate.

Sentenza: 
Il creativo opera sublime riuscita, propizio per perseveranza.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Albanese,000000,2,Il Ricettivo (kun),,"Il Ricettivo rappresenta la forza femminile, la dedizione e la fertilità. È il massimo principio passivo. Segui le guida e le istruzioni degli altri.


Sentenza:
Il Ricettivo opera sublime riuscita, se segue trova una guida.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Avoletto,010001,3,La difficoltà iniziale (zhun),,"Rappresenta un momento di crescita in cui ci sono ostacoli e incertezze. È necessario affrontare le difficoltà con pazienza e azione coraggiosa, accettando che il progresso sarà lento e non ancora stabile.

Sentenza: Nella “Difficoltà Iniziale” il solido (Yang) e il tenero (Yin) si uniscono per la prima volta (poiché nel Creativo e nel Ricettivo non si mescolavano) e il parto è gravoso.


",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Avoletto,100010,4,La stoltezza giovanile (meng),,"Rappresenta l'inesperienza e la ricerca di conoscenza. Indica che il successo è possibile per chi cerca di imparare con umiltà, ma è fondamentale non insistere o ripetere le stesse domande in modo molesto. La guida viene data a chi cerca sinceramente, ma se l'approccio è arrogante, non si riceverà aiuto. Si incoraggia la perseveranza nella ricerca della saggezza e della crescita personale.

Sentenza: La Stoltezza Giovanile ha riuscita. Non sono io a cercare il giovane stolto, è lui che mi cerca. Alla prima consultazione rispondo. Se interroga due o tre volte, questo è molestia. Se molesta, non rispondo. Propizio è perseverare.",634,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Brusa,010111,5,L'attesa (xu),,"Nella quinta interpretazione dell'I Ching, si evidenzia che la speranza non è solo un'aspettativa vuota, ma si basa su una forte certezza interiore di poter raggiungere i propri obiettivi. Questa certezza è una luce che guida verso il successo. La perseveranza aiuta a costruire la forza necessaria per perseguire i nostri sogni al momento giusto.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Brusa,111010,6,La lite (song),," La Lite nasce dall'interazione tra due forze: una forte e una pericolosa. Essa rappresenta un conflitto in cui la sincerità è ostacolata, e la verità rimane bloccata. Si vede un ostacolo centrale che crea difficoltà e minaccia il successo del conflitto. Tuttavia, c'è la possibilità di riconoscere e onorare un grande leader che rappresenta il giusto. Non è consigliabile affrontare situazioni rischiose, simboleggiate da un grande fiume, poiché ci sono pericoli che possono portare a gravi conseguenze.",504,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Cassaniti,000010,7,L'esercito (shi),,"Sentenza: L'Esercito. Perseveranza del giusto porta salute. Se l'esercito non è buono, ci sarà sfortuna.
Organizza e guida con fermezza e chiarezza. L'ordine e la disciplina sono essenziali per il successo, ma devi anche mantenere un equilibrio con la bontà. Un esercito senza controllo è destinato a fallire.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Cassaniti,010000,8,La solidarietà (bǐ),,"Sentenza: La Solidarietà porta salute. Si deve interrogare l’oracolo ancora una volta: se si è puri e sinceri si avrà sublime salute. Se si esita, sorge disordine.
Cerca l'unione e la collaborazione con gli altri in modo sincero e puro. Se sei chiaro e sincero nelle tue intenzioni, otterrai grandi risultati. Tuttavia, evita esitazioni e dubbi, poiché potrebbero portare disordine e disarmonia.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristoforo Cozzolino,110111,9,La forza domatrice del piccolo (xiao xu),,"SENTENZA:
""Riuscita. Dense nuvole ma nessuna pioggia""

evidenzia l'importanza di un controllo paziente e delicato. Invita a concentrarsi su piccoli progressi e a mantenere equilibrio e moderazione, accettando i limiti attuali. Sebbene ci sia potenziale, è fondamentale attendere che le condizioni siano mature per ottenere risultati significativi.






",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristoforo Cozzolino,111011,10,Il procedere (lu),,"Procedere sulla coda della tigre.
Essa non morde l’Uomo.
Riuscita.

L'Esagramma 10 dell'I Ching, ""Il Procedere"", sottolinea l'importanza di avanzare con cautela in situazioni pericolose. Il successo richiede attenzione, rispetto e diplomazia, evitando provocazioni e mantenendo un equilibrio per superare gli ostacoli in sicurezza.






",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Cresta,000111,11,La pace (thai),," La pace. Il piccolo se ne va, il grande se ne viene. Salute! Riuscita!
 La Pace è quando le cose diverse vengono insieme, unendosi: il Cielo e la Terra nell'esagramma, ma lo stesso per la Donne e l'Uomo, l'alto e il basso, l'amore e l'odio. Pace significa unire i diversi per creare qualcosa di nuovo: come il Cielo e la Terra, unendosi, creano l'Orizzonte.
",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Cresta,111000,12,Il ristagno (pi),,"Sentenza: Gente malvagia non è propizia alla perseveranza del nobile. Il grande se ne va, il piccolo viene.         
Significato:Rappresenta il Ristagno, cioè il tempo in cui inizia la crescita.Il Ristagno influenza tutto l’ambiente, nelle faccende umane l’esagramma 12 indica un tempo in cui le ristrettezze sono per tutti, migliorare se stessi è l'unico modo per raggiungere la prosperitá per questo é detto nella sesta linea: Il Ristagno finisce.Prima Ristagno, poi salute.
",477,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Di Marzo,111101,13,L'Associazione tra uomini (tongren),,Esagramma 13: Collaborazione e unione portano a grandi risultati e comprensione reciproca. Sentenza: Comunanza fra uomini all'aperto: riuscita. Propizio attraversare la grande acqua. Perseveranza del nobile. Immagine: Cielo e fuoco rappresentano la comunanza fra gli uomini. Energia (fuoco) si diffonde e influenza (cielo). Interpetrazione: Obiettivi comuni creano una comunità coraggiosa. Collaborazione e unione.,414,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Di Marzo,101111,14,Il Possesso grande (dayou),,"Esagramma 14: Il Possesso del Grande: risorse e poteri da gestire con saggezza. Sentenza: Possesso in larga misura, successo supremo. Immagine: Il fuoco nel cielo simboleggia uso per il bene comune. Simbologia: Energia (fuoco) guidata da saggezza (cielo) porta benefici duraturi. Interpretazione: Grandi risorse richiedono responsabilità etica. Prosperità e abbondanza materiali e di virtù.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentino Fimiani,000100,15,La Modestia (qian),,"Significato:

Esorta all’umiltà e alla sobrietà, suggerendo che il successo viene raggiunto non tramite l’ambizione o l’ostentazione, ma attraverso la semplicità e la moderazione. L’I Ching consiglia di non cercare gloria o riconoscimento, ma di agire con discrezione e rispetto per gli altri. Chi sa mantenersi modesto guadagna fiducia e rispetto, e riesce a ottenere risultati duraturi.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentino Fimiani,001000,16,Il fervore (yu),,"Significato:

Rappresenta un momento di fervore e vitalità in cui l’energia collettiva è alta e tutto sembra possibile. È un periodo ideale per pianificare e agire, poiché il dinamismo è in grado di contagiare e coinvolgere altri. Tuttavia, l’I Ching consiglia di non lasciarsi trasportare dall’euforia senza una direzione chiara. Per ottenere risultati duraturi, l’entusiasmo deve essere accompagnato da una strategia e da un controllo delle proprie emozioni.",460,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenza Fiorillo,011001,17,IL Seguire (sui),,"INTERPRETAZIONE: Rappresenta l'idea di seguire un percorso o una guida, evidenziando l'importanza dell'adattamento e della collaborazione.
SENTENZA: Seguire a sublime riuscita. Propizio e perseveranza. Nessuna macchia.
",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenza Fiorillo,100110,18,L'Emendamento delle cose giuste (gu) ,," INTERPRETAZIONE: É qualcosa al nostro interno che dobbiamo corregere .   
SENTENZA:operare su cio che é stato corrotto ha sublime riuscita. Propizio  é attraversare la grande acqua.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessia Gallo,000011,19,L'avvicinamento (lin),,"Sentenza:  Suprema riuscita. Propizio oracolo. Quando si arriva all'ottavo mese lunare, disastroso.
Prenditi cura di chi hai attorno, e avrai la riuscita. (Nel mese lunare, il risultato è l'opposto)",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessia Gallo,110000,20,La Contemplazione (guan),,"Sentenza: Si compie l'abluzione ma non il rito sacrificale. Essere sinceri con alto contegno.
Ascolta ciò che la natura ha da dirti e seguilo in maniera seria. 
",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Guercia,101001,21,Il Morso che spezza (shike),,"DESCRIZIONE: E' la chiarezza della Mente, unita con la Fermezza delle proprie sicurezze, che permettono di capire quel è la via giusta per sé.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Guercia,100101,22,L'Avvenenza (bi),,DESCRIZIONE: Propizio avere una direzione dove andare,lunghezza adeguata,,,,,,,,,,"22 del I ching, l'avvenenza, come la libertà dell'essere sciolti e aperti mentalmente, cioè quella sensazione che si prova quando si è indifferenti e sciolti con se stessi e con il Mondo. La libertà che si prova quando si è sciolti con se stessi è una libertà che si prova poche volte.",,,,,,,,,,,,,,,,
Eduardo Hakobyan,100000,23,La Frantumazione (bo),,"Sentenza: Lo spaccarsi in due. Non è propizio andare in alcun luogo.   
Descrizione: Rappresenta un periodo di decadenza, durante il quale non si può fare a meno di spaccarsi in 2.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Hakobyan,000001,24,Il Ritorno (fu),,"Sentenza: Il ritorno. Riuscita. Uscita ed entrata senza errore. Amici vengono senza macchia. Serpeggiante è la via. Al settimo giorno viene il ritorno. E’ propizio avere ove recarsi.
Descrizione: Rappresenta un tempo in cui le singolarità cercano il ritorno, quando arriva il tempo del Ritorno, non si può fare a meno di inseguire la svolta.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Kovari,111001,25,L'innocenza (wu wang),,"L'esagramma 25 invita all'azione spontanea e genuina. Come un seme che germoglia, l'impulso interiore guida senza calcoli. Il Cielo (yang) e il Tuono (yin) in movimento simboleggiano un corso naturale, invitando a fidarsi dell'universo e cogliere le opportunità. È un momento favorevole per agire con leggerezza, senza forzature, e accogliere il futuro con speranza. ",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Kovari,100111,26,La forza domatrice del piccolo (daxu),,"L'esagramma 26, Grandi Accumuli, invita alla moderazione e alla saggezza. Simboleggia una fase di abbondanza e prosperità, ma avverte dei pericoli dell'eccesso. Come un vaso troppo pieno, rischia di traboccare.
È un momento favorevole per consolidare i successi ottenuti, ma richiede cautela. L'eccessiva ambizione può portare a perdite inattese. ",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Viola Liguori,100001,27,Gli Angoli della bocca (yi),,"Sentenza:Gli angoli della bocca. Perseveranza reca salute. Presta attenzione all’alimentazione e alle cose con le quali un uomo cerca di riempirsi la bocca.
Interpretazione:Il nutrimento culturale e spirituale è indispensabile quanto quello materiale. Bisogna nutrirsi pensare e parlare",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Viola Liguori,011110,28,La preponderanza del grande (daguo),,"Sentenza: Rappresenta simbolicamente il tema del nutrimento, sia in senso fisico che in senso spirituale o mentale.                                            Interpretazione: Si è arrivati al punto di rottura. Per evitare il peggio bisogna agire tempestivamente con mezzi adeguati. Non esitare ",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorgio Maisto,010010,29,L'Abissale (kan),,"Interpretazione: Ci insegna che per affrontare le situazioni più complesse c'è bisogno di calma e consapevolezza, e, usando la nostra forza interiore, trovare una via per affrontare il pericolo.                                                                                                                                         Sentenza: Se sei verace hai riuscita nel cuore e ciò che fai incontra successo.",410,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorgio Maisto,101101,30,L'Aderente (li),,"Interpretazione: L'esagramma 30 ci insegna l'importanza di avere una visione chiara e di dare importanza ai valori solidi, come il fuoco a bisogno di qualcosa per bruciare, anche noi dobbiamo avere sempre una base stabile da cui partire, in modo da mantenere l'ordine nella nostra vita
Sentenza: Il tempo per chiarire la situazione è abbastanza lungo, bisogna perciò armarsi di pazienza e perseverare per riuscire.                                                                           ",489,,,,,,,,,,,,,,,,,,,,,,,,,,
Yijie Pan,011100,31,La Stimolazione (xian),,"Invita a lasciarsi guidare da empatia e ascolto, favorendo la crescita e il comprensione senza la forzatura.                                                                      La sentenza: L'influsso. Favorisce connessione e attrazione reciproca. Propizio agire con sincerità.                                                            Simboleggia l'equilibrio tra stabilità (monte)e dolcezza (lago)per relazioni armoniose.",425,,,,,,,,,,,,,,,,,,,,,,,,,,
Yijie Pan,001110,32,La Durata (heng),,"Invita a seguire i propri obiettivi con costanza e pazienza, senza farsi distrarre dai cambiamenti improvvisi.                                                  La sentenza: la durata. Favorisce la perseveranza e la stabilità nel tempo il successo a lungo termine.                                                          Simboleggia la costanza, la perseveranza e l'adattabilità, bilanciando l'azione e la flessibilità. ",420,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellè Federico,111100,33,La ritirata,,"La Potenza del grande. Propizia è perseveranza.


",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Pellè,001111,34,La Potenza del grande (da zhuang),,"Spiegazione generale: indica armonia. La forza non deve mai contare troppo su se stessa, ma deve appellarsi alla giustizia. Il giusto trionfa ed ogni azione favorisce la concordia. Sentenza: siete in grado di fare le giuste scelte. Immagine: siete in una posizione dominante, ma dovete stare sempre molto attenti.  Consiglio: essere sicuri e desisi nelle azioni, ma attenti a non deludere le aspettative degli altri",415,,,,,,,,,,,,,,,,,,,,,,,,,,
Riccardo Piacente,101000,35,Il Progresso (jin),,"Spiegazione generale: la luce trionfa contro l'oscurità. Per raggiungere il successo, bisogna avere le idee chiare. Non bisogna avvalersi del proprio potere per dominare i più deboli. Sentenza: il vostro carisma può essere messo a disposizione delle persone a voi vicine. Amore: rappacificazione. Lavoro: situazione in crescita. Salute: la vostra salute progressivamente. Consiglio: prima di intraprendere delle decisioni, fate luce su voi stessi.",447,,,,,,,,,,,,,,,,,,,,,,,,,,
Riccardo Piacente,000101,36,L'Ottenebramento (ming yi),,"Corrisponde ad un particolare momento della vita in cui la luce sembra essere svanita; un particolare momento di difficoltà e la relativa necessità di affrontarlo con la dovuta attenzione e cautela.Lavoro: situazione in crescita. Salute: la vostra salute progressivamente. Consiglio: prima di intraprendere delle decisioni, fate luce su voi stessi."" ",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Grazia Pisano,110101,37,La Famiglia (Jia),," SENTENZA: La famiglia ti protegge e ti sostiene. Apriti all'affetto e all'amore dei tuoi cari
INTERPRETAZIONE: L'esagramma 37 suggerisce un periodo di consolidamento e di cura dei legami familiari. È un momento per coltivare l'armonia domestica, la tradizione e la stabilità. Potrebbe indicare un bisogno di rifugiarsi nel proprio nucleo familiare per trovare conforto e sostegno. Allo stesso tempo, l'esagramma invita a non chiudersi eccessivamente, ma a mantenere un'apertura verso l'esterno.
",496,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Grazia Pisano,101011,38,L'Opposizione (Kui),,"SENTENZA: Le forze si scontrano. Cerca l'armonia nella diversità                                                                                                                                                                                                        INTERPRETAZIONE: L'esagramma 38 indica un periodo di tensioni e di conflitti, sia interni che esterni. Potrebbe esserci una discordia in famiglia, sul lavoro o nelle relazioni. L'esagramma invita alla prudenza e alla diplomazia, suggerendo di evitare scontri diretti e di cercare soluzioni pacifiche


",566,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Respiggi,010100,39,L'impedimento (jian),,"Sentenza:L’Ostruzione: propizio è il sud-ovest. Propizio è il nord-est. Propizio è vedere il grande uomo. Perseveranza reca salute.
 Interpretazione: prima di cercare una soluzione interna prenditi del tempo per guardare dentro di te. Qual è la vera natura dell'ostacolo? Potrebbe essere una resistenza interiore o una paura che ti blocca?",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Respiggi,001010,40,La Liberazione (xie),,"Sentenza:La Liberazione. Propizio è il sud-ovest. Se non c’è ancora un luogo ove dover andare, ritornare reca salute. Se c’è ancora un qualche luogo ove dover andare, affrettarsi reca salute.
Interpretazione: Non sempre è il momento giusto per avanzare liberamente, gli ostacoli potrebbero essere esterni o anche interni, è meglio prendersi del tempo e magari cercare un percorso alternativo ",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Romano,100011,41,La Diminuizione (sun),,"Sentenza:
Riduzione assieme a sincerità opera sublime riuscita senza macchia. Si può essere perseveranti in ciò. Propizio è intraprendere qualche cosa. Come si deve attuare ciò? Si possono usare due ciotole per il sacrificio.

Interpretazione:

Questo è un momento di diminuzione o perdita. Potresti dover fare dei sacrifici, ma con adattamento e attenzione, questa fase ti aiuterà a concentrarti su ciò che è davvero importante.",429,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Romano,110001,42,L'Accrescimento (yi),,"Sentenza:
L’Accrescimento. Propizio è intraprendere qualche cosa. Propizio è attraversare la grande acqua.
Interpretazione:
Questo è un momento davvero buono per migliorare. Se agisci con intelligenza e impegno, vedrai i tuoi risultati crescere e raggiungere nuovi traguardi. Non lasciare che questa opportunità ti sfugga.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Sansone,011111,43,Lo Straripamento (guai),,"Interpretazione:
Invita a prendere una decisione ferma e a portarla avanti con coraggio, affrontando apertamente ciò che è sbagliato o dannoso. È un momento in cui la chiarezza e la determinazione sono essenziali per ristabilire l'ordine e per far fronte a situazioni critiche o di conflitto.
",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Sansone,111110,44,Il Farsi Incontro (gou),,"Possibile interpretazione:
Questo esagramma avverte di un pericolo nascosto, come l'incontro con una situazione o persona che, se lasciata senza controllo, può avere un'influenza negativa. Si consiglia di essere vigili e di non permettere a queste forze esterne di prendere il controllo. È un invito alla prudenza e alla lungimiranza nel gestire situazioni impreviste.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Davide Simeone,011000,45,La Raccolta (cui),,"La Raccolta, rappresenta il successo attraverso la collaborazione e la perseveranza. Invita a unirsi agli altri per consolidare relazioni e raggiungere obiettivi comuni. La perseveranza e l'azione collettiva portano a risultati significativi.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Davide Simeone,000110,46,L'Ascendere (sheng),,"L'Ascendere, simboleggia crescita e progresso graduali, richiedendo pazienza e costanza. Invita ad affrontare i percorsi con coraggio, evitando scorciatoie. Il successo arriva accumulando piccoli progressi. ",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Sole Diana,011010,47,L'Assillo (kun),,"SENTENZA: Blocco, Inattività, Fermo.
INTERPRETAZIONE: SUPERARE GLI OSTACOLI. quotidianamente gli individui si pongono degli ostacoli talvolta reali e talvolta immaginari, che deve superare per trovare uno stato di pace interiore.
",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Sole Diana,010110,48,Il Pozzo (jing),,"SENTENZA: Il pozzo rappresenta le profondità dell'anima di un individuo, la quale conserva tutti i suoi valori, le sue infinite sfaccettature e i suoi ideali.

INTERPRETAZIONE: AUTO-RIFLESSIONE. Il significato è che bisogna esplorare le profondità della propria anima attraverso l'auto-riflessione e la ricerca interiore.
",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Spagnuolo,011101,49,Il Sovvertimento (ge),,"Sentenza: Sovvertimento. Non si può procedere con durezza. Superare le difficoltà con perseveranza.
Interpretazione: Questo esagramma indica un periodo di grandi trasformazioni, come una pelle che si sfalda per lasciare spazio a una nuova. È un momento di passaggio, dove il vecchio lascia spazio al nuovo. La sentenza ci invita ad accogliere questi cambiamenti con flessibilità e pazienza, evitando di opporre resistenza. È un po' come navigare in acque turbolente: la perseveranza sarà la nostra ancora di salvezza.
",518,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Spagnuolo,101110,50,Il Crogiolo (ting),,"Sentenza: Il Crogiuolo. L'azione del fuoco purifica. Si ottengono ricchezze. Nessun biasimo.
Interpretazione: Questo esagramma rappresenta un momento di profonda trasformazione, simile a un oggetto che viene purificato nel fuoco. È un periodo di prova, ma anche di grande potenziale. La sentenza ci assicura che, se affrontiamo questo momento con coraggio e determinazione, ne usciremo rafforzati e arricchiti.
",411,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Varetto,001001,51,L'Eccitante (zhen),,"Invito a prestare attenzione e ad adattarsi velocemente ai cambiamenti.
SENTENZA:liberazione,scossa",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Varetto,100100,52,L'Arresto (gen),,"ci invita a trovare forza nella quiete, coltivando la stabilità interiore attraverso l'immobilità e la riflessione, senza agire impulsivamente.

SENTENZA:riflettere,pace interiore


",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,Kên simboleggia il potere di arrestare i propri pensieri per evitare la confusione. L’esagramma suggerisce di lasciare andare i pensieri che distraggono e di concentrarsi su ciò che è essenziale.,,
Fabrizio Varvella,110100,53,Lo Sviluppo (jian),,"Il tempo in cui la singolarità è destinata a crescere con armonia. Crescita lenta con saggezza e quiete con tempo, e pazienza",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,, ,,,,
Fabrizio Varvella,001011,54,La Ragazza che si sposa (gui mei),,"Il tempo in cui la singolarità si trova tra la fine e l’inizio.Le relazioni personali in generale, devono basarsi sull'affinità",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                    
Irene Vittoria,001101,55,L'Abbondanza (feng),,Preparati poichè sta per arrivare una discesa che influirà molto sulla tua condizione di vita.                                                                                                                                                                                                                         ,lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene Vittoria,101100,56,Il Viandante (lu),,"Cambia la posizione in cui ti trovi, cerca nuove persone o nuovi luoghi e solo così avrai ciò che cerchi",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Zhi Xiong,110110,57,Il Mite (xun),,"LA SENTENZA:Il sereno. Riuscita. Propizia è perseveranza.
INTERPRETAZIONE:Felicità, Estensione, Generosità.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Zhi Xiong,011011,58,"Il Sereno, il Lago (dui)",,"LA SENTENZA:La dissoluzione: riuscita. Il re s'appropinqua al suo tempio.
Propizio è attraversare la grande acqua.
Propizia è perseveranza.
INTERPRETAZIONE:Separazione, Dispersione, Divaricazione.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Zenga,110010,59,La Dissoluzione (huan),,"Interpretazione:

Superare le Difficoltà: L’esagramma suggerisce che è possibile superare le divisioni e le tensioni attraverso la comunicazione e l’apertura.
Collaborazione: È un invito a lavorare insieme per raggiungere un obiettivo comune, dissolvendo le barriere emotive o sociali.
Riflessione Interiore: Può anche indicare la necessità di esaminare le proprie emozioni e conflitti interiori per trovare pace.


Sii flessibile, lascia andare i rancori e trova il modo di essere a posto con te stesso. ",505,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Zenga,010011,60,La Delimitazione (jie),,"Definizione dei Confini: È essenziale definire i propri limiti e rispettare quelli degli altri. Ciò favorisce una maggiore armonia nelle relazioni interpersonali.
Autodisciplina: L'esagramma sottolinea l'importanza dell'autodisciplina e del controllo. Stabilire limiti può prevenire l'eccesso e l'instabilità.
Crescita e Sostenibilità: Limitare le risorse o le energie in modo saggio può portare a un uso più sostenibile e produttivo delle stesse.
Rispetta i limiti altrui e prenditi la responsabilità delle tue azioni, si preciso e evita la confusione",552,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesca Zhou,110011,61,La Verità interiore (zhong fu),,"Rappresenta La Verità Interiore, cioè il tempo in cui la singolarità comprende la realtà. Il sessantunesimo esagramma è uno stadio del mutamento che rappresenta un tempo in cui le singolarità viene illuminata, quando arriva il tempo della Verità Interiore, non si può mentire a se stessi.
Sentenza：Verità interiore. Maiali e pesci. Salute. Propizio è attraversare la grande acqua. Propizia è perseveranza.                                                                      Previsione: Si ottiene fiducia e consenso con la mitezza e l'indulgenza nei confronti dell'ottusità morale e spirituale degli altri. E' bene essere sinceri e perseveranti e anche le cose più difficili riusciranno. Dobbiamo avere fiducia in noi stessi perchè saremo in grado di incidere profondamente sulla realtà che ci circonda e di trasformarla secondo i nostri desideri. Nelle questioni sentimentali l'esagramma indica fortuna ma sconsiglia l'eccessivo entusiasmo.",942,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesca Zhou,001100,62,La Preponderanza del piccolo,,"La Preponderanza del Piccolo, cioè il tempo in cui la singolarità è destinata a non essere grande.
Sentenza：Si possono fare cose piccole, non si debbono fare cose grandi. L’uccello in volo reca il messaggio: non è bene aspirare verso l’alto, è bene rimanere in basso.                                                                                                                                                                               ",442,,,,,,,,,,,,,,,,,,,,,,,,,,
Gioia Zhou,010101,63,Dopo il compimento (ji ji),,"Dopo il successo, rimani ancora cauto per garantire la stabilità, continuando ad essere attenti a possibili rischi e problemi. 
SENTENZA: DOPO IL COMPIMENTO
Completamento, successo",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Gioia Zhou,101010,64,Prima del compimento (wei ji),,"Rimani sempre cauto e affronta con fiducia le sfide e gli cambiamenti, che saranno le basi per raggiungere il successo finale.
SENTENZA:PRIMA DEL COMPIMENTO
Fase iniziale di preparazione prima del completamento di un progetto o di un ciclo.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,